SOSR_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SOSR531,39,3821,361,4221,274,9155,843,10271,111,4378,469,4957,61,3611,988,4662,118,9224,3164,12506,120,10414,2790,13329,237,13193,2418,15848,420,11874,1664,13957,525,7829,925,9278,345,2520,366,3230,186,398,68,659,2435,76410,14073,92918,15,3388,364,3769,119,8674,814,9613,62,3725,333,4125,52,2709,365,3124,82,6668,894,7644,136,8524,1003,9668,257,11025,1189,12472,367,10157,1058,11581,376,6120,676,7171,353,1862,241,2457,254,312,64,633,2085,63167,7007,72257,56,7209,726,7989,395,17830,1661,19881,171,8100,805,9078,114,6319,1350,7782,197,15896,4061,20155,254,18943,3795,22994,493,24216,3610,28322,791,22025,2721,25541,900,13941,1601,16447,700,4383,609,5691,447,710,132,1288,4528,139575,21072,165175
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,17,0,94,26,124,0,105,22,120,0,78,13,94,0,37,8,43,0,4,0,8,0,0,0,3,0,3,0,3,0,341,69,408,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,3,6,0,3,0,3,0,6,3,8,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,20,0,99,24,127,0,109,22,127,0,85,16,105,0,44,8,43,0,4,0,8,0,0,0,3,0,3,0,3,0,364,69,434
SOSR599,0,67,12,81,4,101,8,120,0,61,22,84,3,194,60,254,9,553,215,773,11,387,209,606,12,377,241,638,16,401,119,540,22,290,65,375,7,40,12,58,3,8,0,12,85,2475,971,3532,0,57,21,79,3,100,19,120,0,49,16,65,0,184,59,242,4,384,149,534,9,199,100,305,6,216,99,325,27,333,76,442,17,187,47,254,11,28,6,37,6,3,3,11,79,1737,601,2415,0,122,37,161,3,199,32,237,0,113,46,151,3,377,117,503,13,933,364,1306,16,585,305,910,24,594,340,957,43,735,200,977,37,482,118,633,17,65,15,98,9,8,3,23,164,4208,1576,5950
SOSR603,79,4911,327,5313,495,9771,565,10830,198,5062,285,5540,161,5427,415,6000,303,10421,937,11661,310,9416,797,10524,511,9753,829,11089,675,9306,767,10747,766,6803,610,8176,774,3255,385,4416,638,879,143,1652,4900,74999,6058,85960,49,4645,281,4974,251,9442,536,10219,110,4936,303,5343,109,5465,357,5926,250,11075,754,12079,364,10449,697,11514,569,10633,726,11935,756,10474,770,12000,879,7884,657,9417,1170,4012,462,5643,1545,1171,284,2999,6051,80191,5813,92047,127,9555,611,10290,743,19211,1097,21057,301,10000,582,10883,270,10890,773,11926,552,21494,1692,23740,672,19868,1494,22036,1082,20389,1549,23022,1425,19785,1541,22751,1648,14688,1266,17594,1949,7261,849,10056,2180,2049,427,4651,10949,155188,11875,178009
SOSR611,29,2021,170,2222,244,4001,266,4508,127,2321,161,2610,92,2634,227,2951,132,4168,369,4667,140,3812,309,4251,193,4156,350,4705,268,3657,316,4248,351,2860,292,3504,321,1347,135,1803,257,378,66,698,2151,31359,2664,36174,11,2000,171,2181,132,4023,257,4413,70,2224,157,2449,57,2506,204,2764,96,4317,329,4749,162,4266,312,4737,252,4553,366,5165,311,4202,364,4874,395,3255,354,4002,518,1735,210,2464,722,483,152,1359,2725,33563,2872,39157,39,4024,343,4404,376,8029,523,8923,189,4541,321,5056,151,5137,430,5720,233,8487,700,9414,299,8078,623,8993,446,8711,715,9872,579,7862,682,9120,745,6120,644,7504,839,3082,345,4264,985,856,217,2061,4872,64916,5540,75329
SOSR612,9,590,38,640,104,1241,60,1403,47,638,40,725,31,549,29,613,57,1120,75,1247,61,1038,76,1174,98,1215,98,1409,121,1194,118,1439,153,991,106,1256,123,493,64,681,88,121,24,241,896,9189,742,10829,8,617,53,685,52,1281,94,1427,22,680,35,740,14,601,30,646,39,1216,62,1316,74,1226,70,1366,109,1409,92,1611,127,1345,114,1581,154,1224,128,1502,175,630,81,886,222,177,43,443,1017,10403,804,12217,20,1214,96,1324,159,2525,161,2834,73,1314,77,1466,47,1149,61,1263,97,2330,142,2571,139,2255,149,2546,207,2623,191,3022,252,2539,226,3018,307,2213,237,2755,300,1124,141,1572,309,299,73,680,1915,19588,1543,23046
SOSR613,14,817,58,886,123,1712,87,1923,55,994,47,1097,47,828,63,933,68,1432,106,1603,83,1448,88,1615,109,1737,137,1983,153,1711,128,1986,210,1350,128,1684,178,749,79,1009,114,166,33,311,1148,12934,946,15036,5,837,47,895,68,1666,77,1816,25,937,51,1015,31,821,48,899,61,1596,111,1774,82,1616,94,1783,135,1967,121,2224,171,1910,138,2220,222,1565,149,1941,260,898,97,1259,288,228,41,562,1357,14048,986,16388,22,1652,104,1773,192,3383,167,3737,85,1929,100,2114,80,1652,104,1832,127,3027,218,3370,160,3063,181,3406,245,3702,262,4213,327,3617,270,4211,434,2911,275,3620,442,1647,177,2273,402,394,78,872,2506,26982,1929,31416
SOSR614,5,305,16,330,35,586,44,672,12,299,20,333,11,226,19,259,26,510,27,572,36,461,29,526,69,522,52,641,99,584,44,726,114,504,53,668,85,296,41,419,46,54,11,105,534,4354,360,5247,3,285,23,307,16,584,46,642,10,282,19,315,10,242,15,266,25,563,49,637,25,510,43,580,62,658,56,776,71,687,42,798,72,605,62,744,118,339,42,504,94,76,15,185,510,4843,404,5753,11,592,33,637,49,1169,91,1311,25,581,41,651,15,476,32,527,57,1077,79,1208,57,978,73,1105,130,1184,104,1412,166,1269,87,1522,187,1115,109,1412,196,635,80,915,138,129,22,294,1040,9199,765,11004
SOSR615,34,1664,113,1809,205,3405,239,3856,69,1490,88,1648,53,1377,123,1553,69,2721,205,2992,108,2787,212,3107,201,3324,276,3803,334,3519,304,4160,457,3009,325,3791,363,1423,169,1954,241,300,58,595,2133,25020,2110,29257,17,1593,110,1718,94,3317,213,3620,36,1499,93,1627,43,1365,118,1522,60,3029,218,3305,103,3104,220,3431,221,3644,261,4126,351,3803,341,4499,368,3357,304,4019,473,1621,189,2280,553,383,99,1039,2315,26714,2164,31191,52,3254,226,3527,302,6720,450,7474,98,2990,185,3275,96,2736,237,3074,131,5744,417,6297,207,5898,432,6540,423,6977,538,7936,688,7326,645,8658,820,6370,622,7815,834,3041,355,4234,794,682,159,1632,4440,51738,4272,60455
SOSR621,3,497,32,538,50,1002,95,1155,16,458,46,517,12,365,24,403,10,836,61,914,41,902,68,1012,58,1118,105,1284,103,1301,126,1528,133,1096,108,1334,90,468,38,604,62,77,16,156,577,8129,720,9434,11,470,41,514,21,1050,86,1155,10,428,36,477,8,367,41,418,20,875,64,960,36,1018,92,1150,61,1132,98,1298,98,1388,109,1594,122,1064,95,1284,122,448,55,624,83,96,25,210,594,8338,744,9672,16,970,69,1050,76,2053,178,2303,27,888,77,988,15,731,65,820,33,1716,127,1869,75,1923,162,2163,119,2254,203,2577,203,2688,233,3124,252,2161,203,2619,213,919,97,1227,149,173,42,363,1171,16467,1460,19103
SOSR622,0,252,12,265,46,623,44,711,25,315,14,354,8,229,18,249,10,426,24,458,33,509,52,592,45,698,71,807,89,917,80,1083,102,765,79,947,79,293,46,425,49,49,24,117,476,5069,467,6010,0,228,19,253,7,584,40,630,10,264,32,306,3,196,22,220,11,459,35,506,22,581,41,645,60,760,62,882,68,873,76,1013,73,731,68,874,84,281,44,406,87,63,21,167,430,5024,454,5901,0,480,33,519,56,1208,85,1340,32,578,46,659,11,425,36,476,18,880,65,964,55,1094,90,1237,101,1457,136,1696,159,1785,149,2093,176,1496,143,1819,159,578,89,829,132,107,43,286,906,10093,918,11910
SOSR631,30,2309,181,2518,247,5900,464,6605,103,2806,201,3108,60,2028,178,2266,104,3643,341,4095,131,5096,465,5693,329,7114,640,8089,570,7787,733,9090,553,5589,528,6675,292,1871,207,2371,156,255,55,466,2573,44401,3989,50967,14,2189,178,2381,139,5553,408,6106,57,2559,201,2826,43,1696,137,1868,90,3871,337,4305,140,5346,483,5965,346,7135,589,8066,517,7261,653,8438,354,4691,438,5483,302,1396,155,1856,196,227,33,456,2211,41917,3616,47741,39,4496,358,4898,389,11454,871,12713,159,5364,402,5929,108,3720,313,4134,199,7513,682,8396,278,10437,944,11659,681,14250,1232,16160,1089,15049,1394,17527,903,10280,968,12150,592,3271,363,4225,353,482,88,926,4786,86316,7611,98715
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,15,4,15,0,7,0,5,0,11,0,10,0,5,0,8,0,4,0,4,0,0,0,0,0,0,0,0,0,45,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,21,4,23,0,7,0,5,0,15,0,15,0,11,0,12,0,7,0,7,0,0,0,0,0,0,0,0,0,63,5,68
SOSR699,0,27,0,27,0,17,0,16,3,28,3,34,3,41,19,56,0,81,34,120,3,63,25,93,8,49,17,77,3,38,7,52,0,39,4,48,0,4,3,8,0,0,0,0,23,385,117,524,0,19,0,20,0,17,5,22,0,30,3,33,0,21,6,29,0,51,12,69,3,47,3,54,3,43,13,59,4,51,4,56,6,28,3,38,3,7,0,5,0,0,0,0,19,314,61,393,0,38,0,40,0,29,4,36,3,57,5,62,3,59,24,90,0,139,43,183,9,110,29,147,9,90,34,135,7,92,13,113,8,67,8,84,4,8,3,12,0,0,0,3,43,697,175,912
SOSR703,54,3998,498,4550,291,6536,684,7512,89,2928,347,3362,54,3881,741,4680,107,10579,2171,12865,115,8322,1562,9999,163,6950,1223,8332,249,5033,843,6128,302,2586,405,3296,240,723,115,1071,114,99,33,245,1776,51633,8632,62041,38,3924,449,4413,103,6385,690,7184,53,2704,297,3058,29,3419,478,3926,97,10253,1381,11727,113,7895,936,8939,177,6392,766,7340,245,4665,628,5533,262,2287,319,2864,329,655,108,1098,205,80,44,323,1651,48658,6106,56416,93,7923,953,8966,394,12919,1378,14697,147,5637,642,6422,84,7299,1218,8610,205,20830,3558,24590,225,16214,2498,18940,344,13336,1992,15672,487,9699,1479,11658,564,4872,728,6161,565,1381,226,2169,315,181,73,572,3428,100291,14736,118456
SOSR712,11,779,113,908,51,1440,179,1669,28,655,82,762,6,562,96,663,21,1638,288,1948,29,1419,207,1655,56,1422,227,1701,49,1168,178,1393,60,488,92,642,42,143,33,216,25,20,4,51,384,9731,1505,11619,9,750,92,847,21,1396,173,1592,16,520,70,606,14,560,94,665,14,1899,336,2250,30,1574,222,1832,46,1582,218,1847,67,1200,201,1468,81,469,96,645,81,151,25,255,54,33,18,106,446,10129,1541,12110,20,1529,207,1760,73,2835,354,3261,41,1174,155,1364,21,1121,191,1331,39,3535,621,4198,65,2996,424,3489,106,2997,446,3548,119,2365,382,2864,149,955,188,1288,119,290,58,468,84,54,28,156,824,19853,3048,23726
SOSR714,3,238,64,303,15,363,74,449,8,170,47,220,4,155,44,205,14,416,132,565,7,306,71,381,9,322,93,429,17,262,85,361,22,155,51,227,14,40,26,75,8,5,8,18,111,2428,686,3222,0,192,42,237,5,317,79,405,3,147,36,183,5,173,50,223,4,454,134,593,4,343,81,435,19,317,107,449,27,247,66,330,21,103,29,154,17,28,14,56,9,3,8,15,105,2331,639,3081,3,429,100,536,22,682,151,851,5,316,81,398,10,333,87,428,17,867,270,1159,11,647,156,815,31,644,200,879,38,507,152,697,41,253,79,372,25,66,38,136,15,10,14,38,214,4761,1325,6303
SOSR715,5,723,100,827,38,1547,197,1785,13,654,88,753,11,615,88,716,24,1270,248,1541,27,1038,248,1319,61,894,149,1103,42,553,101,697,48,183,34,268,10,35,4,58,0,0,0,0,282,7524,1268,9074,3,639,96,741,14,1361,131,1506,7,622,76,712,8,639,68,718,13,1385,233,1633,12,1080,203,1299,64,884,169,1121,68,573,72,714,51,129,25,206,27,32,13,72,10,0,4,16,285,7365,1095,8741,9,1364,199,1574,49,2913,329,3291,17,1278,164,1460,23,1259,155,1434,41,2660,481,3173,42,2127,453,2624,129,1777,318,2224,108,1127,177,1413,93,317,62,477,43,68,14,128,14,0,4,14,567,14885,2364,17812
SOSR721,6,501,122,628,17,1065,209,1290,10,472,122,601,5,468,117,588,17,1044,220,1285,11,825,152,993,29,653,162,838,30,448,91,572,30,158,26,213,12,32,9,52,6,3,3,9,167,5669,1232,7067,0,500,131,634,11,1008,209,1223,0,426,86,514,3,485,101,591,16,1131,209,1353,19,822,185,1022,31,712,180,927,41,415,79,538,43,133,37,209,19,23,7,59,5,9,0,19,195,5662,1230,7084,6,1000,259,1259,20,2076,415,2513,11,902,206,1121,5,957,215,1184,33,2174,434,2632,29,1649,333,2014,58,1363,342,1765,70,863,174,1109,69,288,64,426,36,56,18,109,15,8,4,27,360,11331,2462,14150
SOSR722,4,490,64,557,8,1015,106,1121,0,436,48,485,3,448,46,501,17,784,110,911,19,602,87,713,35,600,107,741,45,410,84,539,36,202,38,275,29,53,10,89,5,12,0,18,189,5050,707,5946,0,473,61,535,4,954,86,1045,6,419,37,462,5,466,81,551,14,868,112,998,12,693,94,797,41,666,80,782,60,466,87,606,58,190,27,280,37,48,8,91,9,11,0,19,243,5260,669,6170,4,963,130,1094,14,1964,192,2163,7,856,80,944,9,913,133,1057,29,1648,222,1906,29,1294,182,1512,70,1265,183,1524,102,876,170,1146,91,397,65,556,60,104,14,181,20,20,0,38,429,10310,1384,12119
SOSR731,12,982,197,1181,51,2205,334,2591,19,987,270,1276,11,981,395,1392,35,1960,648,2640,39,2008,506,2556,66,2256,498,2826,99,1722,367,2185,117,911,188,1215,54,200,48,306,22,17,6,45,516,14228,3460,18212,11,942,226,1178,41,2011,312,2357,12,815,225,1055,6,803,222,1032,13,1865,370,2248,22,1938,314,2273,72,1993,340,2410,89,1420,275,1779,92,681,116,889,53,153,35,242,28,9,4,45,439,12628,2430,15494,24,1923,418,2364,86,4216,649,4949,33,1805,493,2328,18,1788,612,2417,46,3826,1016,4891,57,3948,822,4827,136,4250,844,5235,182,3141,641,3962,208,1588,305,2104,104,349,87,541,49,33,9,88,956,26862,5891,33706
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,23,4,23,0,14,0,16,0,11,0,11,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,61,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,14,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,3,0,21,4,30,0,14,3,19,0,9,0,9,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,62,12,70
SOSR799,0,31,6,45,0,40,10,48,0,18,3,16,0,59,39,98,5,129,95,219,3,134,78,215,7,161,87,257,17,168,47,229,10,135,32,174,0,16,9,20,0,0,0,0,48,891,388,1332,0,30,12,34,0,59,17,76,0,16,0,17,0,50,36,85,0,153,85,239,7,114,62,180,8,132,60,203,7,160,39,212,8,78,15,105,0,8,3,10,0,0,0,0,36,793,329,1157,0,62,16,81,0,100,21,123,0,29,3,32,0,108,70,183,3,278,179,457,11,247,135,396,15,298,146,461,28,328,91,438,19,209,50,278,3,21,12,38,0,0,0,0,84,1686,723,2489
SOSR802,173,12966,714,13843,1097,22440,983,24524,370,11377,569,12311,258,14498,1038,15795,427,29541,2341,32310,508,26414,1865,28789,678,22642,1556,24876,761,17881,1162,19803,1012,12002,871,13888,1137,4767,510,6417,982,1172,161,2319,7399,175707,11765,194879,106,12151,606,12868,516,21562,901,22975,278,11251,550,12080,214,14352,937,15502,478,31045,2045,33573,636,27133,1568,29342,867,23647,1367,25880,1050,19184,1266,21502,1190,13342,932,15462,1807,5540,552,7902,2133,1397,305,3836,9281,180605,11028,200914,279,25113,1321,26710,1618,44002,1876,47504,644,22628,1112,24393,470,28855,1970,31297,910,60585,4391,65889,1140,53549,3442,58129,1542,46288,2920,50749,1819,37059,2428,41302,2204,25343,1807,29352,2951,10309,1065,14316,3115,2571,466,6151,16682,356316,22796,395790
SOSR822,0,0,0,0,0,28,0,26,0,5,0,5,0,6,4,10,0,7,0,5,0,18,0,13,0,23,0,23,0,16,0,16,0,16,0,16,3,13,0,14,0,0,0,3,3,126,4,135,0,5,0,5,0,19,0,21,0,14,0,18,0,5,0,5,0,6,0,9,0,14,0,19,0,21,3,26,0,19,0,25,0,12,0,12,4,7,0,6,0,0,0,0,9,131,5,140,0,8,0,8,0,46,0,51,0,16,0,18,0,8,4,12,0,10,0,13,4,27,0,30,0,44,3,44,0,35,0,39,0,29,0,29,3,15,0,19,0,3,0,4,14,252,11,271
SOSR831,0,40,3,45,0,52,7,57,0,26,4,28,0,25,0,25,0,49,10,50,0,58,5,65,0,53,9,64,3,38,8,50,0,15,0,18,3,4,0,6,0,0,0,0,8,357,50,422,0,17,4,23,0,49,3,50,4,23,3,31,4,12,3,20,0,52,5,61,3,58,4,65,0,43,8,55,0,36,3,39,0,15,3,21,0,3,0,6,0,0,0,3,13,323,37,368,0,62,8,66,0,103,10,108,3,50,5,58,4,37,3,41,0,99,10,111,3,118,15,133,0,99,13,118,3,75,17,91,0,37,5,42,4,8,0,11,0,0,0,3,21,679,90,793
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,5,0,5,0,10,0,10,0,10,3,16,0,34,3,36,0,53,12,63,7,46,23,67,4,25,17,43,3,23,15,38,3,9,3,15,0,3,0,5,0,0,0,0,19,219,75,312,0,6,0,6,0,12,0,12,3,15,3,20,0,34,9,42,0,34,3,44,0,28,9,40,3,20,5,26,3,25,7,34,0,9,0,9,0,4,0,4,3,0,0,3,15,192,23,228,0,12,0,12,0,23,0,22,3,25,7,35,0,65,10,79,3,92,14,108,5,74,25,107,6,48,18,68,8,44,22,78,3,18,3,24,0,4,0,8,3,0,0,3,28,406,98,538
SOSR915,4,53,3,64,0,87,15,97,0,30,11,37,0,29,10,41,0,92,25,114,0,96,16,112,0,125,21,145,0,116,28,147,4,78,23,106,8,14,3,24,0,0,0,0,20,707,156,888,0,36,3,41,0,96,12,112,0,28,4,34,0,28,3,36,0,83,22,103,0,92,10,106,0,103,26,126,5,90,22,113,6,29,7,38,3,8,0,9,3,0,0,3,16,586,106,710,4,94,11,105,0,186,26,208,3,55,13,65,0,57,12,76,0,174,43,221,0,188,31,218,0,225,49,272,5,200,53,261,14,107,26,139,8,16,3,30,4,0,0,3,35,1298,265,1599
SOSR921,0,12,0,12,0,53,5,53,0,14,0,15,0,7,0,7,0,18,3,21,0,50,3,50,0,55,3,56,3,50,4,54,3,40,4,53,3,17,3,22,3,6,0,11,20,318,24,359,0,12,0,16,0,38,4,41,0,20,3,19,0,11,0,11,0,35,5,37,0,55,3,53,0,57,9,66,0,66,7,75,3,54,7,59,0,21,3,20,7,3,0,11,14,358,32,404,0,27,0,27,0,87,6,92,0,33,3,37,0,15,0,15,0,51,3,57,0,98,8,102,0,106,8,120,3,121,11,130,6,91,10,110,7,38,10,48,10,7,0,20,26,674,57,761
SOSR922,0,27,0,27,0,43,0,43,0,15,0,23,0,29,6,32,0,47,10,59,0,47,0,45,0,45,10,56,3,45,4,44,3,27,0,33,3,5,0,10,0,0,0,0,14,333,34,381,0,34,3,39,0,35,3,40,0,20,0,20,0,14,0,14,0,45,5,56,0,44,3,49,0,45,0,46,3,44,8,48,5,18,0,25,6,4,3,18,0,0,0,0,15,310,27,350,0,66,3,69,0,77,4,80,0,42,0,45,0,46,4,47,0,95,14,109,0,94,3,99,0,89,12,100,6,84,5,99,6,47,7,61,13,11,3,27,0,0,0,0,36,644,55,734
SOSR931,0,33,0,34,3,74,5,80,0,32,4,30,0,13,41,54,0,32,106,132,0,64,67,131,0,76,36,115,4,88,14,112,3,50,9,64,7,23,6,37,4,8,0,14,28,490,294,810,0,25,0,30,0,76,4,79,0,26,8,28,0,6,0,9,3,42,3,47,0,67,15,80,3,90,13,98,4,87,17,101,3,72,11,88,3,32,7,46,5,6,0,13,21,524,74,624,0,63,3,61,3,146,9,157,0,57,7,66,0,17,39,60,3,72,114,185,0,135,83,213,3,162,49,215,8,172,33,214,8,125,17,150,7,56,15,82,16,13,4,29,50,1009,374,1429
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0,4,0,3,0,3,0,3,0,3,4,3,0,6,0,0,0,0,0,0,0,0,4,21,0,21,0,0,0,0,0,3,0,3,0,0,0,3,0,4,0,4,0,0,0,0,0,5,0,5,0,4,0,4,0,4,0,4,0,0,3,6,0,0,0,0,0,0,0,0,0,26,5,28,0,0,0,3,0,3,0,3,0,0,4,3,0,3,4,10,0,0,0,0,0,5,0,5,0,9,0,9,0,11,0,11,4,6,3,13,0,0,0,0,0,0,0,0,4,41,10,55
