SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED22501,22961,24843,47805,11985,6200,18180,3176,8043,11218,579,877,1454,733,660,1396,16463,15782,32246,5702,8192,13896,4.5,4.2,4.3,71.7,63.5,67.5,68.6,60.9,64.5,1446,1496,2941,698,1239,1937,4253,5375,9632,2354,2890,5240,5208,2007,7216,127,250,375,348,553,898,5679,2804,8484,24211,25487,49695,2630,2895,5526,18400,19307,37708,7561,8214,15774
SED22607,26638,29197,55839,13052,8808,21861,3743,7363,11111,625,958,1584,1169,1047,2220,18598,18178,36773,6221,9082,15299,6.3,5.8,6,69.8,62.3,65.9,65.4,58.7,61.9,2319,2445,4762,767,1446,2216,6238,7464,13701,2279,2763,5043,3694,1634,5330,156,198,352,321,492,810,4173,2324,6493,23878,25776,49654,5227,5606,10840,15862,17161,33020,12405,13308,25713
SED22704,26615,26791,53409,10774,5215,15993,2876,6386,9262,953,906,1860,784,772,1558,15392,13282,28673,9040,11298,20336,5.1,5.8,5.4,57.8,49.6,53.7,54.9,46.7,50.8,344,432,778,261,625,882,1402,2639,4038,1766,2793,4559,7402,3183,10589,218,482,697,391,611,1005,8011,4272,12286,24887,24805,49696,3819,3918,7734,17863,17582,35445,9539,10025,19560
SED22802,22597,23695,46292,11891,5695,17589,2689,7237,9921,707,857,1568,662,702,1362,15952,14489,30442,5625,8122,13742,4.1,4.8,4.5,70.6,61.1,65.8,67.7,58.2,62.8,443,506,949,308,595,904,1980,2995,4981,1821,3058,4878,7231,3048,10279,157,358,520,341,558,899,7732,3971,11700,23286,23974,47259,2790,3031,5821,16784,17107,33894,8320,8905,17230
SED22901,22938,24973,47914,11143,6253,17391,2998,6489,9491,559,725,1283,924,821,1744,15621,14287,29909,6483,9775,16259,5.9,5.7,5.8,68.1,57.2,62.4,64.1,53.9,58.8,1232,1176,2406,412,680,1088,3705,4397,8106,2049,2769,4816,5046,2381,7422,170,278,454,305,565,872,5525,3222,8745,22876,24356,47229,3128,3348,6483,16623,17637,34253,8556,9184,17736
SED23007,34852,33837,68684,14262,8834,23099,5477,7056,12532,933,983,1909,2265,1989,4256,22934,18865,41791,9334,12506,21834,9.9,10.5,10.2,65.8,55.8,60.8,59.3,49.9,54.7,2339,2101,4438,564,1000,1563,6180,6642,12828,2909,2870,5771,4220,2249,6463,237,303,537,380,492,876,4839,3044,7880,29676,29318,58996,7361,6753,14113,17862,18544,36402,17526,16025,33552
SED23101,23528,25902,49431,10018,5682,15695,3408,6368,9777,472,627,1092,995,892,1881,14887,13563,28451,7816,11367,19188,6.7,6.6,6.6,63.3,52.4,57.6,59.1,48.9,53.7,2212,1943,4156,556,844,1406,5054,5823,10882,2313,2736,5051,3290,1454,4747,102,184,289,314,513,828,3707,2157,5864,23400,25337,48732,3601,3631,7234,17145,18568,35716,9041,9607,18646
SED23205,24163,26422,50587,10351,5607,15956,2963,6365,9328,642,801,1442,1122,1049,2166,15070,13823,28886,7350,10722,18065,7.4,7.6,7.5,62.4,52.3,57.1,57.8,48.3,52.8,629,673,1303,354,689,1040,2232,3416,5654,2142,3030,5169,6234,3224,9457,203,383,584,399,633,1031,6830,4247,11079,22493,23975,46467,4064,4306,8369,14929,15859,30781,10465,11403,21866
SED23308,24683,27803,52486,10773,6281,17047,3482,7455,10938,701,934,1636,1035,877,1911,15991,15546,31538,7160,10549,17710,6.5,5.6,6.1,64.8,55.9,60.1,60.6,52.8,56.4,1083,1147,2231,505,1010,1512,3545,4902,8441,1966,2979,4944,5678,3066,8746,192,316,507,322,481,807,6199,3865,10061,22688,24751,47444,4474,5070,9542,15192,16848,32034,10911,12048,22958
SED23402,26155,27742,53900,13886,7003,20883,3187,8047,11226,731,902,1638,884,930,1816,18689,16879,35570,6063,9431,15491,4.7,5.5,5.1,71.5,60.8,66,68.1,57.5,62.6,753,799,1560,364,773,1138,2557,3857,6409,2348,3470,5821,7553,3560,11114,182,408,592,375,654,1030,8118,4626,12739,25891,26673,52564,4848,5166,10014,16318,16521,32839,12842,13925,26768
SED23502,24149,25248,49403,8247,4225,12475,2823,6107,8928,895,926,1822,855,650,1504,12818,11915,24727,9258,11144,20399,6.7,5.5,6.1,53.1,47.2,50.1,49.5,44.6,47,295,365,666,255,624,879,1340,2575,3913,1515,2532,4045,7099,3047,10141,211,471,682,415,574,990,7719,4092,11812,22677,23243,45918,3399,3722,7118,16150,16166,32318,8780,9610,18387
SED23602,23339,23614,46948,8986,4338,13329,2609,6048,8654,789,826,1617,827,629,1461,13214,11843,25059,8285,9892,18177,6.3,5.3,5.8,56.6,50.2,53.4,53.1,47.5,50.3,330,441,769,251,610,866,1499,2600,4097,1470,2305,3770,6607,2871,9475,184,364,552,342,531,871,7133,3764,10895,21479,22063,43542,3274,3526,6796,15113,15330,30450,8521,9216,17731
SED23702,27069,28365,55432,14027,6785,20805,3187,8370,11549,798,986,1780,871,920,1795,18876,17057,35939,6668,9707,16379,4.6,5.4,5,69.7,60.1,64.8,66.5,56.9,61.6,283,423,701,285,602,887,1532,2868,4403,1987,3314,5303,9192,4204,13402,197,464,662,426,693,1118,9817,5362,15175,26621,27527,54155,4174,4114,8291,18576,19044,37622,10945,11602,22543
SED23806,26006,28902,54912,12528,8662,21194,4009,7281,11297,613,853,1463,1071,963,2029,18216,17762,35983,6394,9603,15998,5.9,5.4,5.6,70,61.5,65.5,65.9,58.1,61.8,3929,3602,7533,895,1597,2491,8273,9287,17558,2047,2694,4739,1867,1072,2942,88,148,234,210,466,679,2172,1689,3857,22713,24823,47533,6055,6461,12521,13929,15496,29431,14182,15191,29366
SED23901,25237,27412,52645,11670,6821,18488,3513,7086,10593,589,818,1409,1026,937,1964,16796,15666,32457,6962,10138,17103,6.1,6,6.1,66.6,57.2,61.7,62.5,53.7,57.9,2563,2377,4942,797,1382,2179,5563,6530,12094,2139,2609,4750,3722,1702,5423,129,203,332,321,482,806,4171,2393,6562,24102,25799,49900,4248,4372,8619,16632,18057,34686,10622,11055,21679
SED24006,24719,27512,52229,10961,6709,17672,3885,7069,10954,562,717,1278,945,816,1761,16357,15310,31665,7080,10857,17936,5.8,5.3,5.6,66.2,55.6,60.6,62.3,52.7,57.3,3202,2719,5916,780,1271,2051,7190,7961,15156,1842,2700,4540,1902,950,2848,80,172,251,233,438,665,2215,1559,3771,23795,25818,49609,4171,4596,8767,16400,17801,34199,11034,12060,23099
SED24105,28055,28900,56953,12122,7045,19162,3762,5979,9743,750,758,1513,1465,1310,2770,18094,15087,33184,8670,12472,21148,8.1,8.7,8.3,64.5,52.2,58.3,59.3,47.7,53.4,1088,1083,2174,305,475,776,3594,3884,7480,2376,2640,5010,4440,2127,6569,162,288,450,375,479,851,4975,2896,7869,27732,28526,56254,4512,4429,8939,18817,19435,38257,12093,12044,24138
SED24207,31829,32493,64320,14311,7837,22152,3938,7060,11005,1022,1020,2047,1754,1673,3432,21033,17598,38624,8908,12989,21894,8.3,9.5,8.9,66.1,54.2,60,60.5,49,54.7,1043,1012,2058,280,499,773,3848,5044,8898,2457,2998,5453,5350,2867,8219,260,355,614,474,691,1173,6083,3918,10001,32821,33436,66258,4531,4629,9161,22370,22899,45270,12617,12902,25519
SED24308,26117,27173,53287,10288,5196,15484,2757,6433,9194,755,852,1607,1335,1065,2400,15133,13552,28681,9220,11710,20930,8.8,7.9,8.4,57.9,49.9,53.8,52.8,45.9,49.3,404,446,843,209,466,676,1664,2547,4209,1688,2384,4078,6286,3570,9852,234,436,670,364,540,902,6876,4544,11419,24224,25488,49710,4061,4404,8467,16788,17425,34213,10178,11196,21378
SED24408,22775,23916,46690,9883,4768,14649,2637,6214,8849,769,876,1645,703,518,1221,13995,12370,26364,7220,9908,17127,5,4.2,4.6,61.4,51.7,56.5,58.3,49.6,53.9,308,389,690,232,564,795,1348,2766,4109,1412,2378,3790,5794,2777,8564,238,433,665,328,515,849,6356,3725,10083,22549,22826,45377,2926,3291,6220,16760,16811,33568,7539,8308,15845
SED24504,22623,23857,46479,10205,5065,15271,3095,6906,10001,734,865,1599,640,589,1230,14671,13431,28104,6354,8698,15052,4.4,4.4,4.4,64.8,56.3,60.5,62,53.8,57.8,913,1010,1919,516,1044,1556,2736,4062,6799,2048,2806,4847,5925,2295,8215,142,323,460,374,574,948,6437,3190,9631,22758,23366,46126,3036,3300,6342,16132,16392,32525,8478,9155,17634
SED24606,23126,26365,49492,11151,7298,18448,3419,6379,9797,508,692,1205,835,852,1690,15924,15221,31138,5884,9668,15548,5.2,5.6,5.4,68.9,57.7,62.9,65.2,54.5,59.5,2997,2753,5753,694,1217,1911,7381,8265,15649,1917,2699,4615,1720,922,2647,66,147,205,232,492,724,2020,1561,3576,20929,23118,44044,4593,5246,9848,13357,14962,28323,11544,12899,24445
SED24703,51715,55502,107222,18751,14580,33330,7525,10285,17812,1154,1537,2692,3253,3782,7030,30689,30181,60871,15462,19855,35313,10.6,12.5,11.5,59.3,54.4,56.8,53,47.6,50.2,6183,6911,13092,1092,1751,2842,15350,16882,32231,3607,3816,7423,2548,1671,4219,187,267,454,420,500,919,3148,2442,5593,29628,31321,60951,18455,20859,39310,11595,11924,23518,35695,39405,75099
SED24808,29321,31190,60511,14103,7234,21337,3021,7129,10148,906,979,1886,1482,1464,2946,19515,16810,36321,7912,12403,20317,7.6,8.7,8.1,66.6,53.9,60,61.5,49.2,55.1,575,597,1175,245,576,817,1846,3010,4858,2055,3188,5243,7939,4306,12239,279,537,817,507,758,1267,8724,5600,14323,29473,30584,60059,5223,5645,10863,18442,18792,37230,14041,15336,29375
SED24904,25229,26170,51397,10444,5490,15933,2553,6140,8691,810,847,1660,1109,855,1968,14911,13335,28246,7880,10428,18301,7.4,6.4,7,59.1,51,55,54.7,47.7,51.1,223,312,534,208,493,698,1367,2551,3921,1320,2210,3528,5826,3025,8856,248,466,718,371,498,868,6448,3988,10439,23536,24101,47635,4048,4234,8285,16349,16550,32897,9886,10532,20420
SED25003,26511,28016,54525,13395,7091,20480,3415,7296,10712,808,929,1732,1224,1196,2418,18844,16505,35346,6573,10297,16867,6.5,7.2,6.8,71.1,58.9,64.8,66.5,54.7,60.4,1079,931,2011,262,536,795,3027,3998,7020,2254,2990,5245,5634,2887,8521,203,362,565,372,628,1006,6214,3876,10088,27416,28247,55672,3960,4008,7969,19068,19619,38683,10715,11163,21882
SED25102,22702,23393,46096,11604,5703,17305,3139,7492,10638,686,844,1533,722,651,1380,16159,14693,30857,5481,7617,13100,4.5,4.4,4.5,71.2,62.8,66.9,68,60,63.9,845,1012,1860,485,970,1455,2773,4077,6845,2209,3062,5271,6513,2627,9146,161,259,426,318,538,856,6994,3423,10423,23648,23765,47417,2532,2638,5173,17631,17561,35185,7647,8057,15705
SED25205,24207,26712,50918,12388,7187,19572,2975,7486,10461,650,856,1509,887,721,1611,16906,16243,33151,6015,9053,15064,5.2,4.4,4.9,69.8,60.8,65.1,66.2,58.1,61.9,1167,1385,2546,515,1006,1521,3818,5202,9015,2484,3159,5641,5363,2227,7592,152,271,417,359,598,956,5870,3091,8961,24337,26195,50530,3551,3740,7293,17082,18366,35449,9737,10572,20308
SED25302,23313,26445,49765,10525,5257,15781,2982,7541,10524,610,740,1348,659,613,1276,14780,14154,28929,7379,11018,18398,4.5,4.3,4.4,63.4,53.5,58.1,60.6,51.2,55.6,980,961,1940,489,960,1443,3345,4493,7837,2476,3371,5851,5687,2411,8103,137,316,454,356,665,1021,6185,3395,9579,23539,25679,49226,3659,3986,7642,15982,17340,33319,10237,11514,21744
SED25402,25361,27168,52532,10328,4930,15256,2626,6928,9560,820,870,1684,1574,1112,2685,15348,13839,29192,7952,11121,19072,10.3,8,9.2,60.5,50.9,55.6,54.3,46.8,50.4,412,449,859,265,544,811,1605,2723,4325,1580,2402,3978,8027,3536,11570,223,492,714,362,543,901,8611,4573,13187,24418,25320,49735,3598,4054,7657,17595,17950,35540,9194,10269,19458
SED25501,24947,26686,51632,10312,6099,16412,3556,6065,9619,544,666,1210,1098,1051,2141,15505,13882,29386,8482,11773,20250,7.1,7.6,7.3,62.2,52,56.9,57.8,48.1,52.8,3018,2510,5532,629,913,1539,6128,6417,12543,2237,2815,5058,2623,1171,3791,109,164,271,265,465,729,2995,1800,4791,23606,25129,48737,4834,4689,9525,16144,17339,33488,11566,11777,23340
SED25605,25794,26382,52178,10706,6009,16715,3582,5662,9248,628,639,1270,1181,971,2146,16098,13285,29378,8405,11814,20220,7.3,7.3,7.3,62.4,50.4,56.3,57.8,46.7,52.2,1778,1490,3273,360,619,979,4522,4768,9287,2356,2651,5006,4047,1768,5820,134,264,395,330,528,854,4510,2559,7073,24703,25295,49993,3889,3785,7678,17520,18042,35563,10046,9919,19959
SED25704,25062,26133,51193,10525,5176,15698,2674,6499,9175,903,925,1829,757,611,1365,14862,13202,28069,7975,10626,18595,5.1,4.6,4.9,59.3,50.5,54.8,56.3,48.2,52.2,158,283,442,209,484,698,1258,2487,3744,1306,2291,3595,6684,3107,9788,184,454,637,331,507,834,7200,4065,11264,24327,24835,49159,3185,3401,6593,17434,17503,34938,8788,9401,18188
SED25802,26157,27956,54113,11390,5254,16636,2995,7303,10293,821,1017,1831,983,897,1879,16185,14465,30649,8061,11448,19514,6.1,6.2,6.1,61.9,51.7,56.6,58.1,48.6,53.1,435,529,967,333,734,1059,1718,3034,4752,1681,2924,4611,8073,3669,11742,211,497,705,343,666,1005,8627,4829,13452,25277,26281,51560,4025,4530,8555,17308,17831,35137,10719,11767,22489
SED25905,26334,27187,53525,12779,6494,19278,3336,6705,10041,766,806,1572,1285,1209,2494,18169,15218,33386,7013,10825,17835,7.1,7.9,7.5,69,56,62.4,64.1,51.5,57.7,891,846,1734,241,510,751,2812,3561,6380,2309,2976,5284,6095,2958,9049,179,344,521,373,608,983,6646,3908,10553,26860,27313,54171,3652,3620,7270,19329,19672,39001,9913,10046,19959
SED26005,30807,31308,62117,16002,8046,24054,3973,8114,12087,898,928,1823,1541,1572,3114,22417,18654,41077,6885,11174,18055,6.9,8.4,7.6,72.8,59.6,66.1,67.8,54.6,61.1,1153,1087,2234,320,583,906,3144,4229,7372,2797,3615,6417,6945,3539,10483,270,405,672,453,667,1124,7665,4613,12278,33224,33124,66344,4875,5057,9930,22505,22449,44948,13581,13757,27333
SED26102,24069,26255,50326,8187,4024,12205,3273,6447,9718,719,813,1539,670,598,1274,12851,11883,24735,9459,12387,21851,5.2,5,5.2,53.4,45.3,49.1,50.6,43,46.6,606,633,1238,400,743,1140,2398,3316,5712,2027,3067,5091,6677,2694,9365,187,349,534,421,625,1048,7284,3668,10952,21847,23348,45196,3904,4197,8101,14573,15292,29865,10427,11446,21872
SED26207,23766,25773,49537,10902,6369,17269,2882,6228,9112,703,821,1526,790,692,1481,15283,14106,29383,7223,10273,17503,5.2,4.9,5,64.3,54.7,59.3,61,52.1,56.3,967,1009,1975,378,711,1085,3457,4532,7983,2045,2500,4546,5042,1764,6812,123,255,375,312,518,832,5480,2539,8021,23593,24977,48567,3103,3250,6358,17333,18723,36059,8393,8645,17044
SED26303,25518,28877,54386,12181,9283,21463,4004,7779,11788,648,926,1574,1033,934,1968,17863,18925,36788,5883,8058,13945,5.8,4.9,5.3,70,65.5,67.6,66,62.3,64,2476,3431,5906,941,1900,2844,6490,8051,14535,2054,2402,4457,2959,1544,4503,133,165,298,274,335,611,3362,2041,5409,22935,25042,47980,4911,5756,10666,14959,16536,31501,11894,13457,25352
SED26406,29872,31352,61228,12591,7708,20297,4239,7255,11493,693,911,1602,1547,1645,3193,19065,17521,36592,9188,12218,21406,8.1,9.4,8.7,63.8,55.9,59.8,58.7,50.6,54.5,3178,3156,6337,692,1104,1797,6806,7745,14552,2522,2938,5455,3460,1661,5114,143,208,354,316,441,760,3915,2312,6230,24628,25884,50508,7665,7887,15554,14828,15983,30813,16486,16742,33234
SED26504,22753,24276,47024,9202,4688,13893,2588,6128,8717,815,908,1723,638,568,1201,13242,12292,25533,7547,9836,17381,4.8,4.6,4.7,58.2,50.6,54.3,55.4,48.3,51.7,311,411,723,298,594,896,1515,2701,4216,1507,2469,3975,6171,2822,8998,200,380,587,343,542,884,6716,3749,10464,21670,22502,44174,3268,3541,6806,15462,15865,31326,8389,9138,17525
SED26603,29930,31613,61545,13652,8251,21902,4184,7158,11344,822,1000,1818,1403,1233,2637,20061,17646,37704,7976,12037,20010,7,7,7,67,55.8,61.3,62.3,51.9,57,2007,2094,4098,630,1164,1797,5296,6224,11516,2586,2975,5564,4987,2103,7093,169,257,426,329,497,825,5482,2855,8342,27272,28717,55988,5888,5773,11665,17544,19109,36646,14073,13867,27937
SED26708,24188,24476,48665,10811,4926,15742,3059,6822,9879,877,978,1856,609,497,1110,15360,13220,28581,7051,9521,16574,4,3.8,3.9,63.5,54,58.7,61,52,56.5,369,496,870,291,580,873,1752,3039,4788,1642,2575,4219,6497,2954,9448,205,354,556,364,540,910,7069,3855,10920,24099,23778,47873,3246,3311,6561,17397,17065,34455,8615,8757,17366
SED26806,32359,35009,67365,17181,14417,31598,4129,6357,10485,752,940,1692,1154,1202,2354,23216,22918,46128,5716,8560,14283,5,5.2,5.1,71.7,65.5,68.5,68.2,62,65,3742,3904,7648,878,1491,2369,10048,11370,21416,2645,3453,6102,2935,1639,4572,129,192,322,311,479,792,3375,2305,5681,21679,23117,44795,8825,9903,18720,10319,11263,21588,19845,21552,41395
SED26903,27663,29323,56979,11149,6981,18132,4050,6421,10466,731,787,1517,1449,1238,2681,17375,15427,32798,8153,11619,19769,8.3,8,8.2,62.8,52.6,57.6,57.6,48.4,52.9,1739,1830,3566,445,930,1375,4339,5239,9577,2341,2702,5044,4227,2097,6322,167,280,446,319,457,768,4708,2834,7544,24627,25888,50513,5246,5296,10537,16069,17523,33590,12416,12265,24686
SED27003,31397,33178,64577,16662,13596,30255,4044,6599,10638,780,1017,1797,1244,1147,2386,22727,22352,45077,5576,7694,13270,5.5,5.1,5.3,72.4,67.4,69.8,68.4,63.9,66.1,3645,4085,7727,1035,1764,2796,9573,10454,20029,2307,2730,5040,2793,1539,4330,133,194,328,311,398,708,3231,2125,5357,22891,24199,47086,7928,8430,16352,12065,13035,25097,18085,18966,37051
SED27101,24248,26263,50512,12045,6721,18771,3269,7016,10280,594,837,1439,999,855,1852,16912,15430,32342,6360,9693,16058,5.9,5.5,5.7,69.7,58.8,64,65.6,55.5,60.4,1754,1718,3480,645,1084,1734,4660,5805,10458,2408,2962,5370,4458,2128,6585,136,217,358,330,520,849,4921,2868,7787,23777,25242,49018,4195,4314,8510,15933,17098,33031,10862,11259,22120
SED27208,26380,25828,52214,9386,4568,13951,2829,6157,8984,809,898,1707,937,664,1596,13956,12282,26240,10535,11579,22111,6.7,5.4,6.1,52.9,47.6,50.3,49.4,45,47.2,317,374,686,240,562,803,1349,2469,3820,1420,2425,3848,6744,2970,9714,251,433,686,357,580,933,7346,3985,11337,24492,24382,48873,3257,3533,6793,17790,17589,35383,8709,9188,17894
SED27305,21973,22988,44961,11770,6269,18038,2992,6912,9903,556,712,1268,821,785,1604,16133,14681,30817,5042,7516,12560,5.1,5.3,5.2,73.4,63.9,68.5,69.7,60.4,65,1077,951,2024,343,582,927,3206,3986,7196,2071,2660,4735,5109,2211,7322,127,234,362,298,515,822,5537,2965,8505,23147,23628,46772,2415,2598,5021,17961,18292,36248,6838,7231,14072
SED27406,22679,25359,48037,11140,6518,17656,3036,6842,9881,545,733,1279,688,693,1384,15405,14782,30192,6040,9268,15310,4.5,4.7,4.6,67.9,58.3,62.9,64.9,55.6,60,1897,1770,3660,654,1175,1832,5403,6271,11666,2380,3061,5439,3251,1499,4749,118,200,317,316,577,888,3682,2271,5957,21723,23931,45650,3840,4229,8074,14697,16319,31015,10206,11114,21318
SED27504,27090,28394,55486,11504,6126,17629,2913,6821,9729,922,968,1882,1107,848,1958,16437,14758,31197,8437,11344,19784,6.7,5.7,6.3,60.7,52,56.2,56.6,49,52.7,447,488,940,319,713,1031,1678,2896,4574,1589,2687,4276,6415,3282,9695,208,417,628,336,531,867,6962,4232,11190,26133,26595,52725,4340,4663,9004,18167,18381,36551,10822,11447,22267
SED27608,26601,28756,55353,12598,6235,18838,3776,8989,12770,793,1058,1850,921,854,1779,18090,17139,35232,7163,10196,17355,5.1,5,5,68,59.6,63.6,64.5,56.6,60.4,1309,1172,2487,532,1072,1606,4229,5591,9820,2685,3507,6189,6562,3054,9611,181,338,515,363,586,942,7103,3976,11077,25337,26694,52036,5742,5914,11654,15638,16620,32263,14001,14752,28757
SED27708,24760,26500,51264,10747,5252,16004,3203,7411,10612,955,1035,1992,825,723,1545,15732,14427,30160,7101,10039,17147,5.2,5,5.1,63.5,54.4,58.8,60.2,51.7,55.8,414,512,930,311,717,1026,1907,3278,5182,1498,2638,4135,6479,3304,9782,217,450,668,344,532,878,7041,4287,11327,23773,24846,48622,3749,4080,7833,16714,17223,33941,9634,10566,20201
SED27807,31497,30953,62454,10991,5783,16776,4472,5648,10126,956,785,1736,2110,1859,3973,18529,14078,32611,10588,14684,25266,11.4,13.2,12.2,58.8,45.5,52.2,52.1,39.5,45.9,913,808,1724,215,382,604,3185,3502,6688,2233,2444,4684,4839,2424,7265,219,347,565,411,487,897,5468,3262,8729,28988,29103,58085,5196,4651,9845,19938,20715,40653,12641,11434,24077
SED27907,23881,25483,49360,11741,6513,18255,2756,6632,9391,678,855,1534,1021,910,1928,16196,14914,31111,6281,9109,15391,6.3,6.1,6.2,67.8,58.5,63,63.5,54.9,59.1,491,558,1048,290,652,941,2073,3155,5226,1933,2783,4710,6771,2945,9714,175,367,544,371,631,1001,7316,3941,11256,23607,24741,48353,3364,3529,6891,17121,17845,34966,8774,9381,18152
SED28007,28719,29946,58667,14978,8074,23050,3752,7768,11519,867,1002,1863,1406,1453,2857,21001,18291,39296,6322,10142,16463,6.7,7.9,7.3,73.1,61.1,67,68.2,56.2,62.1,909,959,1867,278,595,875,3604,4832,8439,2503,3059,5564,6236,2795,9036,178,357,531,405,685,1084,6814,3839,10654,30712,31553,62269,3692,3863,7558,22168,22629,44800,10681,11265,21941
SED28107,36324,35727,72051,18713,9762,28477,4697,8165,12859,1145,1224,2372,1873,2123,3989,26420,21275,47700,7985,12573,20556,7.1,10,8.4,72.7,59.5,66.2,67.6,53.6,60.7,3096,2696,5789,495,673,1165,5175,6376,11549,3470,3925,7391,6303,3512,9821,255,379,637,461,681,1146,7022,4575,11596,35832,35855,71687,7783,7770,15550,19774,19922,39698,20440,20386,40830
SED28203,27307,27845,55153,10753,5583,16328,3384,5237,8620,806,836,1649,1405,1184,2589,16351,12839,29188,9377,13395,22773,8.6,9.2,8.9,59.9,46.1,52.9,54.7,41.9,48.2,1072,1046,2110,223,382,605,2729,3346,6079,2017,2478,4490,4387,2279,6663,199,304,500,342,509,849,4935,3086,8018,26640,27033,53675,4702,4501,9202,17104,17598,34701,12323,12136,24455
SED28301,23876,25713,49588,11010,5662,16670,3499,7221,10719,564,721,1287,892,817,1707,15958,14426,30386,6988,10279,17262,5.6,5.7,5.6,66.8,56.1,61.3,63.1,52.9,57.8,1833,1640,3471,575,920,1499,5197,5723,10918,2246,2894,5145,3842,1565,5406,94,205,301,324,562,882,4262,2337,6594,24500,25577,50073,3072,3328,6399,18162,19001,37164,8616,9207,17823
SED28408,21929,24813,46743,9336,5137,14470,2829,6512,9337,580,784,1361,1047,874,1927,13788,13310,27099,6808,10025,16832,7.6,6.6,7.1,62.9,53.6,58,58.1,50.1,53.8,818,860,1674,477,907,1382,2503,3775,6280,1612,2309,3918,5049,2808,7860,187,381,576,293,409,707,5533,3603,9135,20645,22582,43220,4137,4668,8807,13171,14562,27736,10599,11769,22362
SED28507,26924,28368,55292,13000,6823,19825,3177,6348,9523,787,822,1612,1472,1490,2964,18432,15487,33926,6795,11082,17878,8,9.6,8.7,68.5,54.6,61.4,63,49.3,56,1122,985,2104,289,529,817,2466,3432,5895,2088,2982,5068,6401,3368,9766,247,378,628,435,571,1003,7082,4317,11397,26589,27488,54074,5004,5202,10211,17273,17692,34963,12464,13144,25612
SED28607,27830,29619,57456,14049,9234,23277,3573,7009,10581,745,1013,1763,1124,985,2113,19492,18244,37731,6710,9620,16334,5.8,5.4,5.6,70,61.6,65.7,66,58.3,62,1941,2371,4320,751,1513,2258,5834,7079,12907,2301,2839,5145,4559,1800,6357,145,219,368,362,461,827,5064,2486,7554,26696,27815,54508,4917,5173,10090,17500,18586,36084,12543,13004,25548
SED28704,29315,31013,60320,16576,8175,24752,3321,9390,12711,887,1251,2143,1010,1047,2054,21795,19863,41659,5979,9496,15475,4.6,5.3,4.9,74.3,64,69.1,70.9,60.7,65.7,963,969,1934,438,989,1422,2934,4651,7591,2516,3932,6453,8808,3914,12723,182,459,642,407,738,1152,9402,5114,14514,30444,30986,61433,5626,6063,11687,17872,17829,35703,15841,16967,32811
